network,outage_size,outage,count,cer,diagonal,equal,robust,common
41,1,2,0.1257225146119081,0.12401211202573874,0.12502385861459667,0.12547688999864445,0.12401211202573874,0.1235878276682725
41,1,3,0.1477477915793456,0.14178686150216685,0.14581649172311345,0.14581649172311345,0.14195503316539632,0.1398057943554071
41,2,"0,1",0.1348304498380497,0.126661480811068,0.12987378783713752,0.13369506153558242,0.126678347661832,0.125109840279553
41,2,"0,2",0.11554637423727254,0.11607277337808483,0.11528427131351074,0.11539702560755308,0.11560048966559355,0.11650548586780052
41,2,"0,3",0.14550547958911092,0.13359087698666525,0.1384509479730269,0.13903907855003916,0.1360819799394838,0.13110054784465
41,2,"1,2",0.12775566623265092,0.1257399198953988,0.1304033578767772,0.13289468711860652,0.1257399198953988,0.12444320438460042
41,2,"1,3",0.1615305389701934,0.16083974310436214,0.16191542489300093,0.16191542489300093,0.16189095568956313,0.1606993788850952
41,2,"2,3",0.1387992103029905,0.13193392289925687,0.13704077789338598,0.13729867312201938,0.13501542353436485,0.12928652997601942
42,1,0,0.19223153304421345,0.17469846071829326,0.17582599475848326,0.1762989884540887,0.17469846071829326,0.17412914888778513
42,1,1,0.20386027462120304,0.20137054004821525,0.20137855877201194,0.20137855877201194,0.20137855877201194,0.19844626353339914
42,1,2,0.180772808477774,0.17093299178543248,0.1714113357370725,0.1717014163295503,0.17093299178543248,0.17037391069742527
42,1,3,0.20737667593903444,0.2049217786327043,0.20503208156603817,0.20503208156603817,0.20493906315026683,0.20212837209198406
42,2,"0,1",0.18149667390386848,0.1763910084756108,0.17640741719041292,0.17835918120386332,0.1763910084756108,0.17408927053099976
42,2,"0,2",0.15578697205196976,0.15605661963349243,0.15387259925916216,0.15415039528318608,0.1544744808475806,0.15677817964158786
42,2,"0,3",0.19734649745879257,0.18443326842475388,0.1851844573912965,0.18598026828010944,0.1845852513369204,0.18220957448725894
42,2,"1,2",0.1804326452878272,0.1732059842984148,0.17437926297089468,0.17818960456772004,0.1732059842984148,0.17094269971252865
42,2,"1,3",0.21626121979934623,0.2159984666601028,0.21611790098429617,0.21611790098429617,0.2161139951232936,0.21554257062349902
42,2,"2,3",0.18704189440470584,0.17992766445860447,0.18341353837850352,0.18415976489171537,0.18044593470997017,0.1773006251733664
43,1,0,0.13397307881982712,0.1308464460708304,0.13191725686436406,0.1320337155569628,0.1308464460708304,0.12933373269294818
43,1,1,0.15229327303900145,0.14353536575061038,0.14390857611503513,0.14522014988916426,0.14352528791671187,0.13957095399301267
43,1,2,0.13403593834574887,0.1287913050132809,0.12978716786272593,0.13058227613862322,0.1287913050132809,0.1271222182225014
43,1,3,0.14979205690974684,0.14623546663531184,0.14891655377408958,0.15036735407644955,0.14624694399699978,0.14455713931432454
43,2,"0,1",0.13687885969893954,0.13323492415153737,0.13457070635983698,0.13765383583768387,0.13320860487106967,0.12946046801547995
43,2,"0,2",0.11902233277772083,0.11889161536566575,0.11879324830951887,0.11897476496845853,0.11889161536566575,0.11923034898969441
43,2,"0,3",0.14375194548467432,0.1386329992167229,0.14241987289857388,0.14313407486124274,0.13985021491338573,0.13566889350269307
43,2,"1,2",0.14042141444982464,0.13179108936805672,0.13427409394835943,0.13757112001469002,0.13179108936805672,0.12820733592394307
43,2,"1,3",0.16702294547542734,0.1660442709307182,0.1668133475747986,0.1668133475747986,0.16678439476481635,0.16572058016963095
43,2,"2,3",0.14038891260315767,0.13609952263716946,0.14144313878565928,0.1420029752490827,0.13879312248358464,0.13319531835830478
44,1,0,0.10041256972070034,0.0963879975145967,0.09776160958555322,0.09853526649567149,0.09641982810049092,0.09616157626846458
44,1,1,0.10465975184510276,0.1039232886737948,0.10850476877491799,0.10963992976698694,0.1039232886737948,0.10187427372915339
44,1,2,0.0981080859452638,0.09685162869185462,0.09788085580123636,0.09875512487125204,0.09685162869185462,0.09567308035694477
44,1,3,0.11655812310736297,0.10821908092682,0.11055370973562922,0.11055370973562922,0.1084735131237111,0.10614734476093302
